"","latitude","longitude"
"774",-15.27368,131.44482
"775",-15.27436,131.44101
"776",-15.2689,131.44783
"777",-15.26958,131.44403
"778",-15.27026,131.44023
"779",-15.27094,131.43643
"780",-15.26822,131.45163
"781",-15.26615,131.43947
"782",-13.84089,132.88426
"783",-13.83429,132.86812
"784",-13.83056,132.86247
"785",-13.81845,132.85045
"786",-13.81934,132.84566
"787",-15.30315,131.47002
"788",-13.24373,132.28244
"789",-15.61171,135.11896
"790",-15.61621,135.1207
"791",-15.57283,134.38034
"792",-15.5891,135.12172
"793",-15.44066,134.28831
"794",-15.45796,134.33604
"795",-15.57482,135.11221
"796",-15.59552,135.11641
"797",-15.59489,135.11966
"798",-15.60133,135.11423
"799",-15.60069,135.11749
"800",-15.61104,135.11963
"801",-15.4056,134.31123
"802",-15.4264,134.36331
"803",-15.445,134.29784
"804",-15.4412,134.29115
"805",-15.56903,134.37357
"806",-15.45063,134.39813
"807",-15.4577,134.33339
"808",-15.43907,134.37772
"809",-15.44833,134.30174
"810",-15.56964,135.11115
"811",-15.4264,134.36597
"812",-15.64729,135.10249
"813",-15.64147,135.10471
"814",-15.6363,135.10368
"815",-15.61688,135.12003
"816",-15.45158,134.39482
"817",-15.46912,134.41045
"818",-15.56294,134.37843
"819",-15.55607,135.09811
"820",-15.44281,134.38702
"821",-12.45663,132.47754
"822",-12.4073,132.9575
"823",-12.45752,132.47269
"824",-12.34315,132.69261
"825",-12.33947,132.71278
"826",-12.34609,132.72974
"827",-12.39452,132.67607
"828",-15.27714,131.47302
"829",-15.27646,131.47681
"830",-15.2799,131.48143
"831",-15.28401,131.48219
"832",-15.28334,131.48599
"833",-15.2888,131.47914
"834",-15.28947,131.47536
"835",-13.26345,132.3119
"836",-15.31214,131.49133
"837",-12.57291,132.04384
"838",-15.31235,131.53868
"839",-15.31579,131.53073
"840",-15.31783,131.54295
"841",-15.32126,131.54756
"842",-15.33233,131.48659
"843",-15.32056,131.55139
"844",-15.3247,131.55215
"845",-15.34193,131.4805
"846",-15.34125,131.48431
"847",-15.34399,131.49266
"848",-15.29292,131.47989
"849",-15.29224,131.4837
"850",-15.29157,131.48749
"851",-15.29089,131.49132
"852",-15.29022,131.49513
"853",-15.2977,131.47684
"854",-15.29703,131.48062
"855",-15.29636,131.48445
"856",-15.30181,131.4776
"857",-15.30458,131.48599
"858",-15.30802,131.49057
"859",-15.30869,131.48676
"860",-13.42915,132.43073
"861",-12.39815,134.45045
"862",-11.79726,130.90479
"863",-12.39223,134.45285
"864",-13.42484,132.43382
"865",-12.39287,134.44952
"866",-12.39881,134.45242
"867",-12.39353,134.45148
"868",-12.38826,134.45055
"869",-11.80009,130.91339
"870",-11.8036,130.91815
"871",-12.3886,134.47798
"872",-12.40035,134.47345
"873",-12.40135,134.49751
"874",-12.06523,133.64285
"875",-12.06467,133.64584
"876",-12.39892,134.47467
"877",-12.41893,134.5127
"878",-12.42357,134.51701
"879",-12.51572,135.6494
"880",-11.8212,130.94183
"881",-12.47807,135.68274
"882",-12.47732,135.68665
"883",-12.47366,135.68315
"884",-12.41072,134.47006
"885",-12.41136,134.46675
"886",-12.41329,134.45676
"887",-13.42458,132.43018
"888",-14.29845,126.93573
"889",-14.26798,126.97585
"890",-14.28778,126.93777
"891",-14.27719,126.91725
"892",-14.27777,126.9136
"893",-14.27383,126.9167
"894",-14.2744,126.91304
"895",-14.26529,126.94909
"896",-14.26586,126.94542
"897",-14.26644,126.94176
"898",-14.26702,126.9381
"899",-14.26759,126.93443
"900",-14.28335,126.92202
"901",-14.26989,126.91981
"902",-14.14878,131.3136
"903",-14.14811,131.31743
"904",-15.63566,131.14438
"905",-15.63965,131.14523
