POSTAL_CODE,lon,lat
2790,150.1647697,-33.495962
2791,149.1271385,-33.60220839999999
2792,148.9894267,-33.6046193
2793,148.8747865,-33.794889
2794,148.6001005,-33.8788824
2795,149.5642369,-33.5390607
2797,148.9894267,-33.6854778
2798,149.1271385,-33.4806818
2799,149.265005,-33.5995926
2800,149.0582632,-33.2792017
2803,148.5315297,-34.120537
2804,148.6001005,-33.5565485
2805,148.4401655,-33.6525088
2806,148.3260629,-33.3984728
2807,148.577239,-34.0130993
2808,148.9435575,-33.9954583
2809,148.3945107,-34.0414059
2810,148.0982046,-33.9363618
2818,148.806055,-32.4158549
2820,149.0123679,-32.5743502
2821,148.0982046,-32.3212524
2823,148.0982046,-31.8320618
2824,147.825395,-31.3469752
2825,147.1013188,-31.7929088
2826,147.5985807,-31.8950912
2827,148.6458369,-31.6552936
2828,148.8289611,-31.2107509
2829,148.4629997,-30.7820705
2830,148.6001005,-32.1754247
2831,146.741207,-31.038393
2832,148.0982046,-30.0220265
2833,148.5543821,-29.2282132
2834,147.9617144,-29.2801652
2835,145.1375834,-31.6862716
2836,143.5635637,-31.0252202
2838,147.3722545,-29.3282279
2839,146.741207,-29.4010291
2840,144.4342138,-29.5392065
2842,149.1501056,-31.7501864
2843,149.7487272,-31.7845656
2844,149.3339956,-32.0462102
2845,150.0606392,-33.4174224
2846,150.0722053,-33.1446203
2847,149.9681453,-33.3520881
2848,149.956588,-32.9298576
2849,150.1184797,-32.7056049
2850,149.5642369,-32.5593561
2852,149.4260421,-32.3173317
2864,148.6687118,-33.353549
2865,148.6001005,-33.1521836
2866,148.96649,-32.9287927
2867,148.6915912,-32.9342431
2868,148.6001005,-32.7462554
2869,148.0982046,-32.6462279
2870,148.2804541,-33.0218853
